1.50204e-05, 0, 0, -nan, -nan
0.00339413, 0, 0, 0, 0
0.00672555, 0, 0, 0, 0
0.0100591, 0, 0, 0, 0
0.0133939, 0, 0, 0, 0
0.0167434, 0, 0, 0, 0
0.0200737, 0, 0, 0, 0
0.0233989, 0, 0, 0, 0
0.0267456, 0, 0, 0, 0
0.0301151, 0, 0, 0, 0
0.0334697, 0, 0, 0, 0
0.0368032, 0, 0, 0, 0
0.040138, 0, 0, 0, 0
0.0434473, 0, 0, 0, 0
0.0467587, 0, 0, 0, 0
0.0500648, 0, 0, 0, 0
0.0533886, 0, 0, 0, 0
0.056802, 0, 0, 0, 0
0.0601368, 0, 0, 0, 0
0.063472, 0, 0, 0, 0
0.0668042, 0, 0, 0, 0
0.0701392, 0, 0, 0, 0
0.0734692, 0, 0, 0, 0
0.0768046, 0, 0, 0, 0
0.0801203, 0, 0, 0, 0
0.0834377, 0, 0, 0, 0
0.0868042, 0, 0, 0, 0
0.0901387, 0, 0, 0, 0
0.0934696, 0, 0, 0, 0
0.096802, 0, 0, 0, 0
0.100121, 0, 0, 0, 0
0.103471, 0, 0, 0, 0
0.106803, 0, 0, 0, 0
0.11014, 0, 0, 0, 0
0.113437, 0, 0, 0, 0
0.116805, 0, 0, 0, 0
0.120143, 0, 0, 0, 0
0.123428, 0, 0, 0, 0
0.126803, 0, 0, 0, 0
0.130137, 0, 0, 0, 0
0.13347, 0, 0, 0, 0
0.136803, 0, 0, 0, 0
0.140138, 0, 0, 0, 0
0.143471, 0, 0, 0, 0
0.146803, 0, 0, 0, 0
0.150099, 0, 0, 0, 0
0.153443, 0, 0, 0, 0
0.156802, 0, 0, 0, 0
0.16011, 0, 0, 0, 0
0.163404, 0, 0, 0, 0
0.166763, 0, 0, 0, 0
0.170114, 0, 0, 0, 0
0.173469, 0, 0, 0, 0
0.176803, 0, 0, 0, 0
0.180135, 0, 0, 0, 0
0.183411, 0, 0, 0, 0
0.186804, 0, 0, 0, 0
0.190136, 0, 0, 0, 0
0.19347, 0, 0, 0, 0
0.196778, 0, 0, 0, 0
0.200137, 0, 0, 0, 0
0.203471, 0, 0, 0, 0
0.206806, 0, 0, 0, 0
0.210137, 0, 0, 0, 0
0.213432, 0, 0, 0, 0
0.216803, 0, 0, 0, 0
0.220138, 0, 0, 0, 0
0.223472, 0, 0, 0, 0
0.226777, 0, 0, 0, 0
0.230138, 0, 0, 0, 0
0.233473, 0, 0, 0, 0
0.236803, 0, 0, 0, 0
0.240138, 0, 0, 0, 0
0.243453, 0, 0, 0, 0
0.246804, 0, 0, 0, 0
0.250485, 0, 0, 0, 0
0.253521, 0, 0, 0, 0
0.256832, 0, 0, 0, 0
0.260166, 0, 0, 0, 0
0.263486, 0, 0, 0, 0
0.266793, 0, 0, 0, 0
0.270168, 0, 0, 0, 0
0.273501, 0, 0, 0, 0
0.276815, 0, 0, 0, 0
0.280104, 0, 0, 0, 0
0.283404, 0, 0, 0, 0
0.286819, 0, 0, 0, 0
0.290156, 0, 0, 0, 0
0.29349, 0, 0, 0, 0
0.296824, 0, 0, 0, 0
0.300159, 0, 0, 0, 0
0.30349, 0, 0, 0, 0
0.306822, 0, 0, 0, 0
0.310157, 0, 0, 0, 0
0.313491, 0, 0, 0, 0
0.316823, 0, 0, 0, 0
0.320157, 0, 0, 0, 0
0.323489, 0, 0, 0, 0
0.326822, 0, 0, 0, 0
0.330157, 0, 0, 0, 0
0.333489, 0, 0, 0, 0
0.336823, 0, 0, 0, 0
0.340158, 0, 0, 0, 0
0.343488, 0, 0, 0, 0
0.346776, 0, 0, 0, 0
0.350119, 0, 0, 0, 0
0.353488, 0, 0, 0, 0
0.356825, 0, 0, 0, 0
0.360159, 0, 0, 0, 0
0.363469, 0, 0, 0, 0
0.366832, 0, 0, 0, 0
0.370158, 0, 0, 0, 0
0.373489, 0, 0, 0, 0
0.376822, 0, 0, 0, 0
0.380158, 0, 0, 0, 0
0.383488, 0, 0, 0, 0
0.386824, 0, 0, 0, 0
0.390157, 0, 0, 0, 0
0.39349, 0, 0, 0, 0
0.396827, 0, 0, 0, 0
0.400159, 0, 0, 0, 0
0.40344, 0, 0, 0, 0
0.406822, 0, 0, 0, 0
0.410158, 0, 0, 0, 0
0.413492, 0, 0, 0, 0
0.416828, 0, 0, 0, 0
0.420159, 0, 0, 0, 0
0.423489, 0, 0, 0, 0
0.426821, 0, 0, 0, 0
0.430156, 0, 0, 0, 0
0.433491, 0, 0, 0, 0
0.436825, 0, 0, 0, 0
0.440159, 0, 0, 0, 0
0.44349, 0, 0, 0, 0
0.446797, 0, 0, 0, 0
0.450137, 0, 0, 0, 0
0.453521, 0, 0, 0, 0
0.456849, 0, 0, 0, 0
0.460186, 0, 0, 0, 0
0.463518, 0, 0, 0, 0
0.466796, 0, 0, 0, 0
0.470183, 0, 0, 0, 0
0.473489, 0, 0, 0, 0
0.476822, 0, 0, 0, 0
0.480139, 0, 0, 0, 0
0.483457, 0, 0, 0, 0
0.486832, 0, 0, 0, 0
0.490156, 0, 0, 0, 0
0.493491, 0, 0, 0, 0
0.496823, 0, 0, 0, 0
0.50013, 0, 0, 0, 0
