1.54972e-05, 0, 0, 0, -nan, -nan
0.00339389, 0, 0, 0, -nan, -nan
0.00672483, 0, 0, 0, 0, 0
0.0100565, 0, 0, 0, 0, 0
0.0134254, 0, 0, 0, 0, 0
0.0167294, 0, 0, 0, 0, 0
0.0201004, 0, 0, 0, 0, 0
0.0234127, 0, 0, 0, 0, 0
0.0267632, 0, 0, 0, 0, 0
0.0300863, 0, 0, 0, 0, 0
0.0334213, 0, 0, 0, 0, 0
0.0367327, 0, 0, 0, 0, 0
0.0400891, 0, 0, 0, 0, 0
0.0434291, 0, 0, 0, 0, 0
0.0467339, 0, 0, 0, 0, 0
0.0500939, 0, 0, 0, 0, 0
0.0534449, 0, 0, 0, 0, 0
0.0567694, 0, 0, 0, 0, 0
0.0600786, 0, 0, 0, 0, 0
0.0634687, 0, 0, 0, 0, 0
0.0668042, 0, 0, 0, 0, 0
0.0701129, 0, 0, 0, 0, 0
0.0734651, 0, 0, 0, 0, 0
0.0767424, 0, 0, 0, 0, 0
0.0800827, 0, 0, 0, 0, 0
0.0834329, 0, 0, 0, 0, 0
0.0868013, 0, 0, 0, 0, 0
0.0901113, 0, 0, 0, 0, 0
0.0934255, 0, 0, 0, 0, 0
0.0967405, 0, 0, 0, 0, 0
0.100136, 0, 0, 0, 0, 0
0.10342, 0, 0, 0, 0, 0
0.106761, 0, 0, 0, 0, 0
0.110072, 0, 0, 0, 0, 0
0.113442, 0, 0, 0, 0, 0
0.116744, 0, 0, 0, 0, 0
0.120137, 0, 0, 0, 0, 0
0.123476, 0, 0, 0, 0, 0
0.126758, 0, 0, 0, 0, 0
0.130079, 0, 0, 0, 0, 0
0.133408, 0, 0, 0, 0, 0
0.136744, 0, 0, 0, 0, 0
0.140111, 0, 0, 0, 0, 0
0.14341, 0, 0, 0, 0, 0
0.146779, 0, 0, 0, 0, 0
0.150102, 0, 0, 0, 0, 0
0.153478, 0, 0, 0, 0, 0
0.156741, 0, 0, 0, 0, 0
0.160122, 0, 0, 0, 0, 0
0.163425, 0, 0, 0, 0, 0
0.166804, 0, 0, 0, 0, 0
0.170146, 0, 0, 0, 0, 0
0.173474, 0, 0, 0, 0, 0
0.17675, 0, 0, 0, 0, 0
0.180072, 0, 0, 0, 0, 0
0.183441, 0, 0, 0, 0, 0
0.186765, 0, 0, 0, 0, 0
0.190078, 0, 0, 0, 0, 0
0.19341, 0, 0, 0, 0, 0
0.196754, 0, 0, 0, 0, 0
0.200102, 0, 0, 0, 0, 0
0.20347, 0, 0, 0, 0, 0
0.206773, 0, 0, 0, 0, 0
0.21007, 0, 0, 0, 0, 0
0.213449, 0, 0, 0, 0, 0
0.216765, 0, 0, 0, 0, 0
0.220141, 0, 0, 0, 0, 0
0.22347, 0, 0, 0, 0, 0
0.226776, 0, 0, 0, 0, 0
0.230105, 0, 0, 0, 0, 0
0.23341, 0, 0, 0, 0, 0
0.236762, 0, 0, 0, 0, 0
0.240147, 0, 0, 0, 0, 0
0.243439, 0, 0, 0, 0, 0
0.246753, 0, 0, 0, 0, 0
0.250102, 0, 0, 0, 0, 0
0.253484, 0, 0, 0, 0, 0
0.256788, 0, 0, 0, 0, 0
0.260126, 0, 0, 0, 0, 0
0.263423, 0, 0, 0, 0, 0
0.266819, 0, 0, 0, 0, 0
0.270151, 0, 0, 0, 0, 0
0.273486, 0, 0, 0, 0, 0
0.276761, 0, 0, 0, 0, 0
0.28015, 0, 0, 0, 0, 0
0.283485, 0, 0, 0, 0, 0
0.2868, 0, 0, 0, 0, 0
0.290148, 0, 0, 0, 0, 0
0.293448, 0, 0, 0, 0, 0
0.296762, 0, 0, 0, 0, 0
0.300106, 0, 0, 0, 0, 0
0.303457, 0, 0, 0, 0, 0
0.306785, 0, 0, 0, 0, 0
0.310088, 0, 0, 0, 0, 0
0.313438, 0, 0, 0, 0, 0
0.316749, 0, 0, 0, 0, 0
0.32015, 0, 0, 0, 0, 0
0.32349, 0, 0, 0, 0, 0
0.326769, 0, 0, 0, 0, 0
0.330114, 0, 0, 0, 0, 0
0.333438, 0, 0, 0, 0, 0
0.336733, 0, 0, 0, 0, 0
0.340147, 0, 0, 0, 0, 0
0.343444, 0, 0, 0, 0, 0
0.346815, 0, 0, 0, 0, 0
0.350151, 0, 0, 0, 0, 0
0.353484, 0, 0, 0, 0, 0
0.356769, 0, 0, 0, 0, 0
0.36012, 0, 0, 0, 0, 0
0.363483, 0, 0, 0, 0, 0
0.366788, 0, 0, 0, 0, 0
0.370124, 0, 0, 0, 0, 0
0.373485, 0, 0, 0, 0, 0
0.376799, 0, 0, 0, 0, 0
0.380148, 0, 0, 0, 0, 0
0.383482, 0, 0, 0, 0, 0
0.386772, 0, 0, 0, 0, 0
0.390155, 0, 0, 0, 0, 0
0.393458, 0, 0, 0, 0, 0
0.396784, 0, 0, 0, 0, 0
0.400126, 0, 0, 0, 0, 0
0.403483, 0, 0, 0, 0, 0
0.406817, 0, 0, 0, 0, 0
0.41012, 0, 0, 0, 0, 0
0.413443, 0, 0, 0, 0, 0
0.416814, 0, 0, 0, 0, 0
0.42015, 0, 0, 0, 0, 0
0.423466, 0, 0, 0, 0, 0
0.426764, 0, 0, 0, 0, 0
0.430088, 0, 0, 0, 0, 0
0.433456, 0, 0, 0, 0, 0
0.43674, 0, 0, 0, 0, 0
0.440145, 0, 0, 0, 0, 0
0.443416, 0, 0, 0, 0, 0
0.446763, 0, 0, 0, 0, 0
0.450113, 0, 0, 0, 0, 0
0.45344, 0, 0, 0, 0, 0
0.456815, 0, 0, 0, 0, 0
0.460113, 0, 0, 0, 0, 0
0.463428, 0, 0, 0, 0, 0
0.466763, 0, 0, 0, 0, 0
0.470148, 0, 0, 0, 0, 0
0.473457, 0, 0, 0, 0, 0
0.476793, 0, 0, 0, 0, 0
0.48015, 0, 0, 0, 0, 0
0.483484, 0, 0, 0, 0, 0
0.486785, 0, 0, 0, 0, 0
0.490151, 0, 0, 0, 0, 0
0.493463, 0, 0, 0, 0, 0
0.496768, 0, 0, 0, 0, 0
0.500103, 0, 0, 0, 0, 0
0.503454, 0, 0, 0, 0, 0
0.506817, 0, 0, 0, 0, 0
0.510081, 0, 0, 0, 0, 0
0.513449, 0, 0, 0, 0, 0
0.516788, 0, 0, 0, 0, 0
0.520147, 0, 0, 0, 0, 0
0.523483, 0, 0, 0, 0, 0
0.526808, 0, 0, 0, 0, 0
0.53015, 0, 0, 0, 0, 0
0.533457, 0, 0, 0, 0, 0
0.536751, 0, 0, 0, 0, 0
0.540148, 0, 0, 0, 0, 0
0.543464, 0, 0, 0, 0, 0
0.54678, 0, 0, 0, 0, 0
0.550113, 0, 0, 0, 0, 0
0.553488, 0, 0, 0, 0, 0
0.556816, 0, 0, 0, 0, 0
0.56015, 0, 0, 0, 0, 0
0.563484, 0, 0, 0, 0, 0
0.566817, 0, 0, 0, 0, 0
0.570154, 0, 0, 0, 0, 0
0.573486, 0, 0, 0, 0, 0
0.576816, 0, 0, 0, 0, 0
0.580149, 0, 0, 0, 0, 0
0.583447, 0, 0, 0, 0, 0
0.586785, 0, 0, 0, 0, 0
0.590098, 0, 0, 0, 0, 0
0.593425, 0, 0, 0, 0, 0
0.596773, 0, 0, 0, 0, 0
0.600105, 0, 0, 0, 0, 0
0.603481, 0, 0, 0, 0, 0
0.606817, 0, 0, 0, 0, 0
0.610124, 0, 0, 0, 0, 0
0.613484, 0, 0, 0, 0, 0
0.616816, 0, 0, 0, 0, 0
0.620115, 0, 0, 0, 0, 0
0.623448, 0, 0, 0, 0, 0
0.626815, 0, 0, 0, 0, 0
0.630149, 0, 0, 0, 0, 0
0.633454, 0, 0, 0, 0, 0
0.636773, 0, 0, 0, 0, 0
0.640152, 0, 0, 0, 0, 0
0.643483, 0, 0, 0, 0, 0
0.646815, 0, 0, 0, 0, 0
0.650117, 0, 0, 0, 0, 0
0.65346, 0, 0, 0, 0, 0
0.656796, 0, 0, 0, 0, 0
0.660148, 0, 0, 0, 0, 0
0.663484, 0, 0, 0, 0, 0
0.666818, 0, 0, 0, 0, 0
0.670152, 0, 0, 0, 0, 0
0.673436, 0, 0, 0, 0, 0
0.676813, 0, 0, 0, 0, 0
0.680124, 0, 0, 0, 0, 0
0.683453, 0, 0, 0, 0, 0
0.686801, 0, 0, 0, 0, 0
0.690151, 0, 0, 0, 0, 0
0.693485, 0, 0, 0, 0, 0
0.696756, 0, 0, 0, 0, 0
0.700148, 0, 0, 0, 0, 0
0.703454, 0, 0, 0, 0, 0
0.70682, 0, 0, 0, 0, 0
0.71015, 0, 0, 0, 0, 0
0.713484, 0, 0, 0, 0, 0
0.716785, 0, 0, 0, 0, 0
0.720147, 0, 0, 0, 0, 0
0.723482, 0, 0, 0, 0, 0
0.726815, 0, 0, 0, 0, 0
0.730159, 0, 0, 0, 0, 0
0.733483, 0, 0, 0, 0, 0
0.73675, 0, 0, 0, 0, 0
0.740147, 0, 0, 0, 0, 0
0.743482, 0, 0, 0, 0, 0
0.746825, 0, 0, 0, 0, 0
0.750151, 0, 0, 0, 0, 0
0.753485, 0, 0, 0, 0, 0
0.756814, 0, 0, 0, 0, 0
0.760122, 0, 0, 0, 0, 0
0.763453, 0, 0, 0, 0, 0
0.766815, 0, 0, 0, 0, 0
0.770129, 0, 0, 0, 0, 0
0.773453, 0, 0, 0, 0, 0
0.776768, 0, 0, 0, 0, 0
0.780148, 0, 0, 0, 0, 0
0.783438, 0, 0, 0, 0, 0
0.786816, 0, 0, 0, 0, 0
0.790151, 0, 0, 0, 0, 0
0.793431, 0, 0, 0, 0, 0
0.796793, 0, 0, 0, 0, 0
0.800081, 0, 0, 0, 0, 0
0.803455, 0, 0, 0, 0, 0
0.806817, 0, 0, 0, 0, 0
0.810149, 0, 0, 0, 0, 0
0.813429, 0, 0, 0, 0, 0
0.816796, 0, 0, 0, 0, 0
0.820148, 0, 0, 0, 0, 0
0.823451, 0, 0, 0, 0, 0
0.826815, 0, 0, 0, 0, 0
0.83015, 0, 0, 0, 0, 0
0.833423, 0, 0, 0, 0, 0
0.836767, 0, 0, 0, 0, 0
0.840116, 0, 0, 0, 0, 0
0.843409, 0, 0, 0, 0, 0
0.846787, 0, 0, 0, 0, 0
0.8501, 0, 0, 0, 0, 0
0.853485, 0, 0, 0, 0, 0
0.856815, 0, 0, 0, 0, 0
0.860148, 0, 0, 0, 0, 0
0.863441, 0, 0, 0, 0, 0
0.866816, 0, 0, 0, 0, 0
0.87015, 0, 0, 0, 0, 0
0.873485, 0, 0, 0, 0, 0
0.876814, 0, 0, 0, 0, 0
0.880133, 0, 0, 0, 0, 0
0.883459, 0, 0, 0, 0, 0
0.886816, 0, 0, 0, 0, 0
0.890122, 0, 0, 0, 0, 0
0.893485, 0, 0, 0, 0, 0
0.896786, 0, 0, 0, 0, 0
0.900149, 0, 0, 0, 0, 0
0.903483, 0, 0, 0, 0, 0
0.906752, 0, 0, 0, 0, 0
0.910112, 0, 0, 0, 0, 0
0.913489, 0, 0, 0, 0, 0
0.916785, 0, 0, 0, 0, 0
0.920148, 0, 0, 0, 0, 0
0.923481, 0, 0, 0, 0, 0
0.926778, 0, 0, 0, 0, 0
0.93015, 0, 0, 0, 0, 0
0.933485, 0, 0, 0, 0, 0
0.936774, 0, 0, 0, 0, 0
0.940147, 0, 0, 0, 0, 0
0.943477, 0, 0, 0, 0, 0
0.946785, 0, 0, 0, 0, 0
0.950147, 0, 0, 0, 0, 0
0.953484, 0, 0, 0, 0, 0
0.956815, 0, 0, 0, 0, 0
0.96013, 0, 0, 0, 0, 0
0.963483, 0, 0, 0, 0, 0
0.966815, 0, 0, 0, 0, 0
0.97015, 0, 0, 0, 0, 0
0.973461, 0, 0, 0, 0, 0
0.976814, 0, 0, 0, 0, 0
0.980148, 0, 0, 0, 0, 0
0.983458, 0, 0, 0, 0, 0
0.986786, 0, 0, 0, 0, 0
