32.0202, 5400, 1800, 0, -nan, -nan
32.0301, 5400, 1800, 0, -nan, -nan
32.0401, 5400, 1800, 0, 0, 0
32.0501, 5400, 1800, -4.29113e-06, 0, 0
32.0601, 5400, 1800, 1.35122e-05, 0, 0
32.0701, 5400, 1800, 1.35122e-05, 0, 0
32.0801, 5400, 1800.15, 2.03046e-05, 0, 0
32.0901, 5400.31, 1801.08, 9.68983e-06, -0.0110455, 15.425
32.1001, 5400.31, 1801.08, 9.68983e-06, 30.8012, 92.6227
32.1101, 5400.31, 1801.08, 9.68983e-06, 0, 0
32.1201, 5400.31, 1802.16, 3.63162e-05, 0, 0
32.1301, 5400.31, 1802.16, 3.63162e-05, -0.0782092, 108.011
32.1401, 5400, 1803.24, 2.28605e-05, 0, 0
32.1501, 5400, 1803.24, 2.28605e-05, -30.9399, 107.994
32.1601, 5400, 1804.47, 4.68873e-05, 0, 0
32.1701, 5400, 1804.47, 4.68873e-05, -0.0907482, 123.368
32.1801, 5400, 1805.71, 4.13062e-05, 0, 0
32.1901, 5400, 1805.71, 4.13062e-05, -0.0897787, 123.286
32.2001, 5399.84, 1807.41, 2.41504e-05, 0, 0
32.2101, 5399.84, 1807.41, 2.41504e-05, -15.5358, 169.506
32.2201, 5399.84, 1809.41, 1.16527e-05, 0, 0
32.2301, 5399.84, 1809.41, 1.16527e-05, -0.139047, 200.153
32.2401, 5399.68, 1811.42, -1.43248e-05, 0, 0
32.2501, 5399.68, 1811.42, -1.43248e-05, -15.5695, 200.557
32.2601, 5399.68, 1812.96, 9.76655e-06, 0, 0
32.2701, 5399.68, 1812.96, 9.76655e-06, -0.107971, 154.522
32.2801, 5399.68, 1814.66, 2.03844e-05, 0, 0
32.2901, 5399.68, 1814.66, 2.03844e-05, -0.118926, 169.8
32.3001, 5399.68, 1816.97, 2.52832e-05, 0, 0
32.3101, 5399.68, 1816.97, 2.52832e-05, -0.166784, 231.446
32.3201, 5399.68, 1819.75, 2.7319e-05, 0, 0
32.3301, 5399.68, 1819.75, 2.7319e-05, -0.197891, 277.333
32.3401, 5399.83, 1822.53, 2.13929e-05, 0, 0
32.3501, 5399.83, 1822.53, 2.13929e-05, 15.2235, 277.661
32.3601, 5399.83, 1825.15, 3.0446e-05, 0, 0
32.3701, 5399.83, 1825.15, 3.0446e-05, -0.186618, 261.888
32.3801, 5399.83, 1828.08, 4.34869e-07, 0, 0
32.3901, 5399.83, 1828.08, 4.34869e-07, -0.209739, 292.97
32.4001, 5399.82, 1831.01, 1.69951e-05, 0, 0
32.4101, 5399.82, 1831.01, 1.69951e-05, -0.20522, 293.446
32.4201, 5399.98, 1834.1, -1.25358e-05, 0, 0
32.4301, 5399.98, 1834.1, -1.25358e-05, 15.2091, 308.592
32.4401, 5400.13, 1837.18, 1.00755e-05, 0, 0
32.4501, 5400.13, 1837.18, 1.00755e-05, 15.2024, 308.342
32.4601, 5399.97, 1840.58, -2.58306e-05, 0, 0
32.4701, 5399.97, 1840.58, -2.58306e-05, -15.6559, 339.298
32.4801, 5399.81, 1843.51, -1.29726e-05, 0, 0
32.4901, 5399.81, 1843.51, -1.29726e-05, -15.5957, 292.569
32.5001, 5399.66, 1846.44, -2.36763e-05, 0, 0
32.5101, 5399.66, 1846.44, -2.36763e-05, -15.6217, 293.002
32.5201, 5399.35, 1849.07, -8.97277e-06, 0, 0
32.5301, 5399.35, 1849.07, -8.97277e-06, -31.0684, 262.548
32.5401, 5399.19, 1851.84, -4.27259e-05, 0, 0
32.5501, 5399.19, 1851.84, -4.27259e-05, -15.5968, 277.428
32.5601, 5398.73, 1854.93, -3.19151e-05, 0, 0
32.5701, 5398.73, 1854.93, -3.19151e-05, -46.4476, 308.264
32.5801, 5398.26, 1858.32, -5.74171e-05, 0, 0
32.5901, 5398.26, 1858.32, -5.74171e-05, -46.4374, 338.875
32.6001, 5397.95, 1861.41, -3.27769e-05, 0, 0
32.6101, 5397.95, 1861.41, -3.27769e-05, -31.0366, 308.355
32.6201, 5397.49, 1863.88, -3.09538e-05, 0, 0
32.6301, 5397.49, 1863.88, -3.09538e-05, -46.4299, 246.716
32.6401, 5397.18, 1866.81, -4.44593e-05, 0, 0
32.6501, 5397.18, 1866.81, -4.44593e-05, -31.035, 292.963
32.6601, 5396.87, 1870.05, -2.65816e-05, 0, 0
32.6701, 5396.87, 1870.05, -2.65816e-05, -31.0484, 323.719
32.6801, 5396.55, 1873.29, -1.95555e-05, 0, 0
32.6901, 5396.55, 1873.29, -1.95555e-05, -31.0158, 323.372
32.7001, 5396.55, 1876.37, -2.11107e-05, 0, 0
32.7106, 5396.55, 1876.37, -2.11107e-05, -0.207594, 307.81
32.7201, 5396.55, 1879.15, -1.60322e-05, 0, 0
32.7301, 5396.55, 1879.15, -1.60322e-05, -0.198596, 292.705
32.7401, 5396.7, 1882.24, -3.27185e-05, 0, 0
32.7501, 5396.7, 1882.24, -3.27185e-05, 15.1919, 307.967
32.7601, 5397.01, 1885.32, -3.03559e-06, 0, 0
32.7701, 5397.01, 1885.32, -3.03559e-06, 30.576, 307.867
32.7801, 5397.47, 1888.41, 5.53953e-05, 0, 0
32.7901, 5397.47, 1888.41, 5.53953e-05, 46.0382, 308.437
32.8001, 5398.09, 1891.34, 7.02993e-05, 0, 0
32.8101, 5398.09, 1891.34, 7.02993e-05, 61.367, 292.599
32.8201, 5398.55, 1894.12, 7.12366e-05, 0, 0
32.8301, 5398.55, 1894.12, 7.12366e-05, 45.9708, 277.137
32.8401, 5399.32, 1897.2, 7.91082e-05, 0, 0
32.8501, 5399.32, 1897.2, 7.91082e-05, 76.9057, 308.641
32.8601, 5399.93, 1900.45, 7.14315e-05, 0, 0
32.8701, 5399.93, 1900.45, 7.14315e-05, 61.3479, 323.433
32.8801, 5400.39, 1903.53, 7.41253e-05, 0, 0
32.8901, 5400.39, 1903.53, 7.41253e-05, 46.0176, 308.396
32.9001, 5401.01, 1906.46, 4.87193e-05, 0, 0
32.9101, 5401.01, 1906.46, 4.87193e-05, 61.4663, 293.066
32.9201, 5401.47, 1909.24, 4.19032e-05, 0, 0
32.9301, 5401.47, 1909.24, 4.19032e-05, 46.0812, 277.764
32.9401, 5401.93, 1912.48, 4.13459e-05, 0, 0
32.9501, 5401.93, 1912.48, 4.13459e-05, 46.0463, 324.036
32.9601, 5402.23, 1915.88, 4.89959e-05, 0, 0
32.9701, 5402.23, 1915.88, 4.89959e-05, 30.6634, 340.094
32.9801, 5402.54, 1919.27, 3.59071e-05, 0, 0
32.9901, 5402.54, 1919.27, 3.59071e-05, 30.5741, 339.106
33.0001, 5402.38, 1922.67, 3.40979e-05, 0, 0
33.0101, 5402.38, 1922.67, 3.40979e-05, -15.6627, 339.128
33.0201, 5402.38, 1925.6, 1.63705e-05, 0, 0
33.0301, 5402.38, 1925.6, 1.63705e-05, -0.212882, 293.047
33.0401, 5402.38, 1928.99, 3.18342e-05, 0, 0
33.0501, 5402.38, 1928.99, 3.18342e-05, -0.243092, 339.374
33.0601, 5402.22, 1932.54, 1.79703e-05, 0, 0
33.0701, 5402.22, 1932.54, 1.79703e-05, -15.6546, 354.164
33.0801, 5401.91, 1936.24, 6.55813e-05, 0, 0
33.0901, 5401.91, 1936.24, 6.55813e-05, -31.121, 370.133
33.1001, 5401.6, 1939.48, 6.59793e-05, 0, 0
33.1101, 5401.6, 1939.48, 6.59793e-05, -31.102, 323.955
33.12, 5401.29, 1942.72, 7.34717e-05, 0, 0
33.1301, 5401.29, 1942.72, 7.34717e-05, -31.2663, 325.663
33.1401, 5400.82, 1946.12, 8.69206e-05, 0, 0
33.1501, 5400.82, 1946.12, 8.69206e-05, -46.5914, 339.686
33.1601, 5400.2, 1949.82, 8.67242e-05, 0, 0
33.1701, 5400.2, 1949.82, 8.67242e-05, -62.06, 370.576
33.1801, 5399.74, 1953.37, 6.87957e-05, 0, 0
33.1901, 5399.74, 1953.37, 6.87957e-05, -46.5065, 354.409
33.2001, 5399.27, 1956.92, 8.46114e-05, 0, 0
33.2101, 5399.27, 1956.92, 8.46114e-05, -46.5982, 355.12
33.2201, 5398.8, 1960.93, 7.77171e-05, 0, 0
33.2301, 5398.8, 1960.93, 7.77171e-05, -46.5603, 400.784
33.2401, 5398.34, 1964.94, 8.69067e-05, 0, 0
33.2501, 5398.34, 1964.94, 8.69067e-05, -46.5469, 400.67
33.2601, 5397.87, 1968.8, 9.17902e-05, 0, 0
33.2701, 5397.87, 1968.8, 9.17902e-05, -46.544, 385.304
33.2801, 5397.72, 1972.5, 9.01993e-05, 0, 0
33.2901, 5397.72, 1972.5, 9.01993e-05, -15.7086, 370.055
33.3001, 5397.4, 1976.05, 9.47932e-05, 0, 0
33.3101, 5397.4, 1976.05, 9.47932e-05, -31.1076, 354.489
33.3201, 5397.55, 1980.21, 8.92783e-05, 0, 0
33.3301, 5397.55, 1980.21, 8.92783e-05, 15.0665, 415.674
33.3401, 5397.4, 1984.38, 9.45508e-05, 0, 0
33.3501, 5397.4, 1984.38, 9.45508e-05, -15.7378, 416.086
33.3601, 5397.55, 1988.08, 8.28897e-05, 0, 0
33.3701, 5397.55, 1988.08, 8.28897e-05, 15.1569, 370.707
33.3801, 5397.55, 1988.08, 8.28897e-05, 0, 0
33.3901, 5397.55, 1988.08, 8.28897e-05, 0, 0
33.4001, 5398, 1996.26, 0.00010088, 0, 0
33.4101, 5398, 1996.26, 0.00010088, 45.6137, 817.308
33.4201, 5398.46, 2000.74, 8.96628e-05, 0, 0
